,chlorine_bacteriology_turbity_tests,colour_tests,turbity,colour,free_chlorine,total_coliforms_pct,total_coliforms_rec_pct,e_coli_pct,e_coli_rec_pct
2018-01-31,1072.0,589,2.5,6.0,1.8,94.9,99.7,99.8,100.0
2018-02-28,1008.0,550,2.3,7.0,1.9,94.7,99.4,100.0,
2018-03-31,1014.0,573,1.8,5.0,1.9,91.9,98.8,99.5,100.0
2018-04-30,1002.0,548,3.7,9.0,2.0,94.8,99.6,99.9,100.0
2018-05-31,1045.0,570,2.8,7.0,1.9,94.2,99.4,99.7,99.9
2018-06-30,1031.0,561,1.9,6.0,1.9,86.8,98.4,99.7,100.0
2018-07-31,1015.0,568,2.5,7.0,1.9,94.2,99.2,99.7,99.9
2018-08-31,1070.0,599,2.6,7.0,2.0,94.1,99.1,99.8,100.0
2018-09-30,1006.0,541,2.2,6.0,1.9,95.6,99.1,100.0,
2018-10-31,1014.0,545,2.4,6.0,1.8,93.1,99.6,99.7,100.0
2018-11-30,876.0,497,2.7,6.0,1.9,96.2,100.0,99.8,100.0
2018-12-31,995.0,549,2.6,6.0,1.9,96.2,99.9,99.6,100.0
