,colour,turbity,pH,free_chlorine,total_coliforms_icnt,thermo_coliforms_icnt,total_coliforms_pct
2007-01-31,3.7,1.5,6.0,1.9,14,0,98.10554803788904
2007-02-28,2.9,1.7,6.2,1.8,9,3,98.78213802435724
2007-03-31,2.5,1.4,6.4,1.7,10,0,98.6468200270636
2007-04-30,4.0,1.4,6.6,1.7,19,4,97.42895805142084
2007-05-31,4.1,1.5,6.6,1.7,15,3,97.9702300405954
2007-06-30,4.9,1.8,6.7,1.7,20,3,97.2936400541272
2007-07-31,3.6,1.2,6.8,1.8,10,0,98.6468200270636
2007-08-31,3.2,1.6,6.5,1.7,4,0,99.45872801082544
2007-09-30,2.5,0.9,6.6,1.9,4,1,99.45872801082544
2007-10-31,3.1,1.2,6.7,1.8,10,1,98.6468200270636
2007-11-30,3.0,1.2,6.0,1.7,11,0,98.51150202976996
2007-12-31,3.4,1.3,6.6,1.6,5,0,99.3234100135318
