date,code,address,neighbourhood,municipality,collection-point,taste,odor
2021-04-28,Am. 12264/21,Rua Pernambuco - Reservatório Engenho de Dentro - Saída,Engenho de Dentro,Rio de Janeiro,Macro Distribuição,2,1
2021-04-29,S.A. 1207/21,Rua Edgard Werneck,Pechincha,Rio de Janeiro,Rede de Distribuição,1,1
2021-04-29,S.A. 638/21,Rua Espinosa Parque Curicica,Curicica,Rio de Janeiro,Rede de Distribuição,1,1
2021-04-29,S.A. 1156/21,Rua Evangelina,Olaria,Rio de Janeiro,Rede de Distribuição,1,1
2021-04-29,S.A. 1178/21,Estrada do Dendê,Moneró,Rio de Janeiro,Rede de Distribuição,1,1
2021-04-30,Am. 16031/21,Avenida Doutor Salles Teixeira,Aero Clube,Nova Iguaçu,Rede de Distribuição,1,1
2021-05-02,S.A. 1100/21,Avenida Tim Maia,Recreio,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-03,Am. 15330/21,Rua Cordovil,Parada de Lucas,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-03,Am. 16216/21,Rua Governo,Realengo,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-03,Am. 16296/21,Rua General Olívio Uzeda,Curicica,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-04,S.A. 1212/21,Avenida Maracanã,Tijuca,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-04,Am. 16414/21,Rua Garibalde,Jardim 25 de Agosto,Duque de Caxias,Rede de Distribuição,1,1
2021-05-04,Am. 16390/21,Rua Coronel Franca Leite,Cabral,Nilópolis,Rede de Distribuição,1,1
2021-05-05,Am. 16763/21,Largo de Benfica,Benfica,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-05,Am. 16726/21,Estrada do Pré,Sen. Vasconcelos,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-06,S.A. 1219/21,Rua Meira de Vasconcelos,Grajaú,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-06,S.A. 1238/21,Estrada Santa Barbara,Miguel Couto,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-07,S.A. 1239/21,Rua Mário Pederneiras,Humaitá,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-07,S.A. 1242/21,Rua Florianópolis,Praça Seca,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-08,S.A. 1226/21,Rua Delfim Moreira - Reservatório São Matheus - Entrada,São Matheus,São João de Meriti,Macro Distribuição,1,1
2021-05-08,S.A. 1226/21,Rua Delfim Moreira - Reservatório São Matheus - Saída,São Matheus,São João de Meriti,Macro Distribuição,1,1
2021-05-08,S.A. 1233/21,Avenida Euclides da Cunha - Abastecimento Carros-Pipa,Vila São João,São João de Meriti,Macro Distribuição,1,1
2021-05-08,S.A. 1237/21,Estrada da Covanca - Abastecimento Carros-Pipa,Tanque,Rio de Janeiro,Macro Distribuição,1,1
2021-05-08,S.A. 1244/21,Rua Adalberto Tanajura,Anchieta,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-09,S.A. 1224/21,Rua Pernambuco - Reservatório Engenho de Dentro - Entrada,Engenho de Dentro,Rio de Janeiro,Macro Distribuição,1,1
2021-05-09,S.A. 1224/21,Rua Pernambuco - Reservatório Engenho de Dentro - Saída,Engenho de Dentro,Rio de Janeiro,Macro Distribuição,1,1
2021-05-11,S.A. 343/21,Rua Prefeito João Felipe,Santa Teresa,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-11,1234/21,Rua Capitão Damasceno  - Abastecimento Carros-Pipa 1,Circular,Duque de Caxias,Macro Distribuição,1,1
2021-05-11,S.A. 1235/21,Rua Capitão Damasceno  - Abastecimento Carros-Pipa 2,Circular,Duque de Caxias,Macro Distribuição,1,1
2021-05-11,Am. 17420/21,Praça Jacarandás,Lagoa,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-11,S.A. 1245/21,Rua João Epifanio da Silva,Campo Grande,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-11,S.A. 1213/21,Rua Dona Claudina,Méier,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-11,S.A. 1263/21,Rua André Rocha,Taquara,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-11,Am. 17130/21,Rua Luiz Silva,Abolição,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-13,S.A. 1254/21,Rua Orestes,Santo Cristo,Rio de Janeiro,Rede de Distribuição,1,1
2021-05-13,S.A. 1231/21,Avenida Benjamim Pinto Dias - Abastecimento Carros-Pipa 8,Belford Roxo,Belford Roxo,Macro Distribuição,1,1
2021-05-13,S.A. 1232/21,Avenida Benjamim Pinto Dias - Abastecimento Carros-Pipa 7,Belford Roxo,Belford Roxo,Macro Distribuição,1,1
