,chlorine_bacteriology_turbity_tests,colour_tests,turbity,colour,free_chlorine,total_coliforms_pct,total_coliforms_rec_pct,e_coli_pct,e_coli_rec_pct
2017-01-31,1025.0,580.0,3.0,5.0,2.0,95.6,99.8,99.8,100.0
2017-02-28,992.0,538.0,2.1,5.0,1.9,96.2,100.0,99.8,100.0
2017-03-31,1028.0,557.0,2.4,6.0,1.8,94.8,99.7,99.8,99.9
2017-04-30,1038.0,559.0,1.9,6.0,1.9,95.2,99.9,99.0,100.0
2017-05-31,980.0,524.0,1.8,6.0,2.0,96.5,99.6,99.8,100.0
2017-06-30,1034.0,554.0,2.6,8.0,1.8,96.0,100.0,99.8,100.0
2017-07-31,1026.0,561.0,1.7,5.0,2.0,96.4,99.9,99.9,100.0
2017-08-31,999.0,534.0,1.7,6.0,2.0,95.5,99.8,99.6,100.0
2017-09-30,1067.0,587.0,1.5,4.0,1.9,94.1,99.6,99.9,100.0
2017-10-31,1021.0,547.0,1.7,6.0,1.9,92.9,99.6,99.8,100.0
2017-11-30,1032.0,562.0,1.7,5.0,1.7,91.7,99.2,99.7,100.0
2017-12-31,994.0,540.0,1.5,5.0,1.7,91.5,99.6,99.9,100.0
