,chlorine_bacteriology_turbity_tests,colour_tests,turbity,colour,free_chlorine,total_coliforms_pct,total_coliforms_rec_pct,e_coli_pct,e_coli_rec_pct
2019-01-31,1016,566,3.6,8.0,1.8,97.8,99.8,99.8,100.0
2019-02-28,1027,741,2.9,9.0,1.9,94.4,99.8,99.7,99.9
2019-03-31,959,539,3.6,9.0,1.7,95.2,99.0,99.0,99.8
2019-04-30,973,542,4.0,9.0,1.6,95.9,99.8,99.4,100.0
2019-05-31,1024,558,3.8,9.0,1.7,93.6,99.3,99.8,100.0
2019-06-30,1018,560,2.8,8.0,1.8,94.7,99.3,99.8,100.0
2019-07-31,1040,596,2.6,8.0,1.7,95.3,99.0,99.7,100.0
2019-08-31,990,561,1.7,5.0,17.0,94.7,99.0,99.6,100.0
2019-09-30,1008,572,2.0,5.0,1.8,96.3,99.7,99.8,100.0
2019-10-31,1011,552,1.8,5.0,1.8,96.7,99.2,99.7,100.0
2019-11-30,1018,405,2.2,7.0,1.7,86.0,99.1,99.7,100.0
2019-12-31,967,535,2.5,9.0,1.7,88.6,99.4,99.5,100.0
