,colour,turbity,pH,free_chlorine,total_coliforms,thermo_coliforms
2005-05-31,5.0,2.0,6.6,1.8,24,6
2005-06-30,4.0,2.0,6.8,1.7,11,0
2005-07-31,4.0,2.0,6.3,1.6,9,2
2005-08-31,3.0,2.0,6.7,1.6,4,0
2005-09-30,3.0,1.0,6.6,1.7,13,5
2005-10-31,2.0,1.0,6.6,1.6,10,0
2005-11-30,1.0,1.0,6.5,1.6,9,4
2005-12-31,2.0,1.0,6.5,1.6,5,0
