,chlorine_bacteriology_turbity_tests,colour_tests,turbity,colour,free_chlorine,total_coliforms_pct,total_coliforms_rec_pct,e_coli_pct,e_coli_rec_pct
2015-01-31,1017.0,532.0,2.3,7.0,1.8,92.1,99.1,98.8,99.9
2015-02-28,1012.0,549.0,3.3,8.8,1.7,93.2,99.5,99.7,99.9
2015-03-31,985.0,526.0,3.8,10.2,1.8,91.4,98.2,99.6,100.0
2015-04-30,997.0,513.0,2.4,7.9,1.6,88.6,97.5,98.7,99.9
2015-05-31,1035.0,862.0,2.1,9.3,1.6,90.5,97.7,99.8,99.9
2015-06-30,1031.0,573.0,1.9,9.0,1.6,91.9,99.6,99.6,100.0
2015-07-31,1011.0,543.0,1.8,8.5,1.7,94.4,99.0,99.9,100.0
2015-08-31,1011.0,542.0,1.8,7.8,1.6,94.6,98.9,100.0,
2015-09-30,989.0,541.0,1.6,5.9,1.6,92.9,98.2,99.9,100.0
2015-10-31,1012.0,544.0,1.5,5.2,1.6,93.6,99.3,99.1,100.0
2015-11-30,985.0,535.0,1.5,6.1,1.6,90.6,99.2,99.7,100.0
2015-12-31,923.0,498.0,1.9,6.9,1.9,95.6,100.0,99.5,100.0
